Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ITSS,4352,5U1,2,8,15,5,1,1,1,1,3,,,,1,,,1,"Neal, Angela A","Kengalapura Shivamurthy, Sourabha",,,,
ITSS,4360,5U1,,4,2,4,3,1,1,,,1,,,1,,,1,"Thirumalai, Nambi","Tang, Ping",,,,
ITSS,4370,5U1,,3,6,2,9,2,2,2,,,1,,1,,,0,"Young, John G",,,,,
LIT,1301,0W1,9,3,1,3,2,,,,,,,,,,,0,"Ingrao, Peter J",,,,,
LIT,2331,0W2,,10,,1,,,,,,,,,1,,,0,"Arrabai, Mustafa M",,,,,
LIT,3337,0W1,1,3,2,3,,1,,,,,,,,,,0,"Riley, Kristin N",,,,,
MAS,6102,0U1,,,,,,,,,,,,,2,50,,1,"Cirilo, Jason M",,,,,
MATH,1314,0S1,,1,1,2,,3,,1,,2,,,,,,0,"Alvarado, Iris",,,,,
MATH,1314,0U1,1,2,,,,2,,1,2,,,,5,,,0,"Aman, Kelly","Murad, Mohammad Hassan",,,,
MATH,1325,0U1,,,,4,,,,2,3,,2,,4,,,0,"Guo, Huizhen","Nuwagira, Brighton",,,,
MATH,1325,5U1,,,1,,2,,1,2,1,1,1,,8,,,4,"Liu, Runzhou","Ghanem, Ziad G",,,,
MATH,1326,0U2,3,3,1,2,1,1,,3,,,1,,4,,,1,"Duruoha, Adannah","Crane, Casey M",,,,
MATH,2312,0U1,,2,1,,1,,1,1,4,,,,4,,,1,"Martynova, Irina","Chen, Huiyi",,,,
MATH,2413,0U1,,1,1,1,1,5,1,4,4,,,2,2,,,1,"Nguyen, Mylinh T","Gallo, Erika S","Cao, Jianpeng","Zhao, Kun",,
MATH,2413,0U2,1,1,1,,1,3,2,3,2,,,2,5,,,1,"Patel, Jigarkumar S","Gallo, Erika S","Cao, Jianpeng","Zhao, Kun",,
MATH,2414,0U1,2,,3,1,,2,1,4,1,2,,1,13,,,3,"Ahsan, Mohammad K",,,,,
MATH,2414,0U2,3,,5,2,3,2,1,,1,3,2,,8,,,2,"Ahsan, Mohammad K",,,,,
MATH,2415,0U1,2,1,1,,2,,2,4,2,,,1,1,,,0,"Dahal, Rabin","Chen, Ying",,,,
MATH,2415,0U2,4,3,,2,5,2,,1,1,1,,,2,,,2,"Dahal, Rabin","Zagvozdkin, Andrei",,,,
MATH,2417,0U1,6,1,2,3,2,,4,1,1,1,1,1,2,,,2,"Sultana, Nasrin","Jahan, Mahmuda",,,,
MATH,2418,0U1,3,2,2,1,1,1,3,5,1,,1,1,3,,,4,"Paudel, Ajaya B",,,,,
MATH,2418,0U2,6,1,2,1,3,1,2,3,2,3,1,,2,,,0,"Adabrah, Anani Komla",,,,,
MATH,2419,0U1,1,3,1,2,4,3,2,2,2,,,,1,,,0,"Eydelzon, Anatoly","Palit, Priyojit","Li, Jiacheng",,,
MATH,2420,0U1,2,3,1,1,2,1,1,1,1,,1,1,1,,,0,"Dabkowski, Mieczyslaw K",,,,,
MATH,3351,0U1,2,2,,2,2,1,4,1,2,,,,,,,0,"Ramakrishna, Viswanath","Seiffert, Lucas",,,,
MATH,4301,0U1,2,1,1,2,1,2,2,3,2,,,,1,,,1,"Dabkowski, Mieczyslaw K","Ahmed, Faisal",,,,
MECH,2330,051,,2,1,1,,,,3,1,,,1,,,,2,"Thamban, P.L.Stephan",,,,,
MECH,3105,1W1,6,3,3,2,1,1,,2,,,,,,,,0,"Rios, Oziel",,,,,
MECH,3150,1W1,1,5,4,1,2,1,,,,,,,,,,0,"Park, Wooram",,,,,
MECH,3305,0W1,4,1,2,6,3,2,2,1,,,,,1,,,1,"Rios, Oziel",,,,,
MECH,3320,0S1,2,2,7,2,2,2,3,3,4,,1,,,,,1,"You, Seung M",,,,,
MECH,3370,0U1,1,3,3,2,4,1,,1,,,,,1,,,0,"Fadda, Dani Z",,,,,
MECH,3380,0W1,2,2,1,1,,2,1,5,1,1,3,,2,,,1,"Malik, Arif",,,,,
MECH,4340,0W1,,1,3,4,3,1,1,2,,,,,,,,0,"Park, Wooram",,,,,
MECH,4381,0U1,,7,20,16,27,6,2,3,,,,,,,,0,"Hart, Robert A",,,,,
MECH,4V95,0W1,,4,2,,7,,,9,1,,2,,3,,,1,"Summers, Joshua",,,,,
MECO,6303,0W1,,13,11,11,3,5,3,8,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,
MECO,6303,AW1,,15,1,,,1,,,,,,,,,,1,"Kiser, Stephen L",,,,,
MIS,6308,0W1,,27,9,13,4,2,,1,,,,,,,,0,"Raghunathan, Srinivasan","Joseph, Shailender",,,,
MIS,6308,0W2,,9,12,9,3,1,,1,,,,,,,,2,"Raghunathan, Srinivasan","Joseph, Shailender",,,,
MIS,6313,5U1,,6,12,9,9,6,3,,,,,,,,,1,"Shroff, Tejas N","Zhu, Yan",,,,
MIS,6313,CW1,,3,3,7,,,,,,,,,,,,0,"Rhoades, Mike",,,,,
MIS,6313,GW1,,6,1,6,3,,1,1,,,,,,,,0,"Wiant, Russell B",,,,,
MIS,6313,GW2,,11,5,2,3,,,1,,,,,,,,0,"Wiant, Russell B",,,,,
MIS,6319,0W1,,18,,,4,,,,,,,,,,,0,"Thompson, Luell O",,,,,
MIS,6324,0W1,,4,1,4,3,2,1,,,,,,,,,0,"Menon, Syam","Luo, Ning",,,,
MIS,6326,0W1,,8,5,5,8,,,,,,,,,,,0,"Ryu, Young","Zhu, Wangsheng",,,,
MIS,6330,5U1,,4,4,5,1,,,1,,,,,,,,0,"Shroff, Tejas N","Zhu, Yan",,,,
MIS,6346,5U1,,13,2,4,3,,,,,,,,,,,0,"El-Youssef, Rami","Tang, Ping",,,,
MIS,6363,0U1,,16,14,3,3,1,1,,,,,,1,,,0,"Calisir, Engin","Xie, Si",,,,
MIS,6363,5U1,,17,10,3,1,1,,,,,,,,,,0,"Calisir, Engin","Xie, Si",,,,
MIS,6380,0U1,,13,1,10,1,1,1,2,,,,,,,,0,"Islam, Naser","Srivastava, Bhupesh K",,,,
MIS,6380,5D1,,18,4,13,5,1,,3,,,,,,,,0,"Islam, Naser","Srivastava, Bhupesh K",,,,
MIS,6382,5U1,,10,12,12,6,4,2,2,,,,,,,,0,"Neouchi, Rabih","Xie, Si",,,,
MKT,3300,0U1,6,3,2,6,2,1,1,,,,,,,,,2,"Jameei Osgouei, Ata",,,,,
MKT,3300,0W1,,7,11,12,8,7,2,1,,1,1,,,,,0,"Pahwa, Parneet","Kim, Seung Mok",,,,
MKT,3330,0U1,1,5,2,1,3,3,,,,,,,2,,,1,"Amirpour, Semiramis","Rai, Rahul",,,,
MKT,4330,0W1,1,8,7,5,3,2,2,,2,1,,2,2,,,0,"Edsel, Alexander D",,,,,
MKT,4334,5U1,,6,2,1,10,,1,,,,,,,,,0,"Pacyna, Sandra",,,,,
MKT,4360,5U1,5,8,10,14,4,1,,,,,,,,,,0,"Farquharson, Neil",,,,,
MKT,4395,5U1,2,11,,,,,,,,,,,,,,0,"Farquharson, Neil",,,,,
MKT,6301,0W1,,13,9,8,15,9,5,2,,,,,3,,,0,"Pahwa, Parneet","Kim, Seung Mok",,,,
MKT,6301,CW1,,24,,,,,,,,,,,,,,0,"Munch, James",,,,,
MKT,6301,MBP,,5,3,11,5,2,,,,,,,1,,,0,"Rajaratnam, Daniel",,,,,
MKT,6301,XU1,,10,8,1,,,,,,,,,,,,0,"Albrecht, Maria",,,,,
MKT,6309,0W1,,2,4,7,6,5,,,,,,,,,,0,"Rajaratnam, Daniel",,,,,
MKT,6310,0W1,,4,3,5,5,3,4,,,,,,,,,0,"Biswas, Abhijit","Brahmbhatt, Kruti Nitin",,,,
MKT,6321,0W1,,16,1,6,12,2,,,,,,,,,,1,"Edsel, Alexander D",,,,,
MKT,6332,0W1,,6,4,7,6,5,5,2,,,,,1,,,0,"Biswas, Abhijit",,,,,
MKT,6336,0W1,,3,4,3,1,1,,,,,,,,,,0,"Rao, Ram C","Choi, Eunsung",,,,
MKT,6337,0W1,,4,2,3,3,3,1,2,,,,,,,,0,"Subramanian, Upender","Madan, Anmol","Roshangarzadeh, Reza",,,
MKT,6339,0W1,,7,5,4,7,1,,,,,,,,,,0,"Rajaratnam, Daniel",,,,,
MKT,6352,0W1,,19,6,4,8,4,3,4,,,,,1,,,0,"Tirone, Guido",,,,,
MUSI,1306,051,15,12,,,,,,,,,,,,,,1,"Jones, Eric",,,,,
NSC,3361,0U1,1,3,2,1,3,1,4,1,3,1,,,2,,,0,"McWilliams, Steven P","Bryan, Caeley L",,,,
NSC,3361,0U2,2,2,2,,1,1,5,2,3,,,,,,,4,"Taylor, Anna M","Garner, Katherine M","Szabo-Pardi, Thomas A",,,
NSC,4351,0W1,4,20,5,,,,,,,,,,,,,0,"Shareef, Safiullah M",,,,,
NSC,4352,0U1,1,4,3,,1,4,,,,,,,,,,0,"Raboune, Siham","Rodriguez, Sierra R",,,,
NSC,4353,1U3,3,6,2,,1,1,,1,,,,,,,,0,"Raboune, Siham","Driskill, Christopher M",,,,
NSC,4366,0U1,3,3,2,3,1,2,2,,,,3,,3,,,2,"Taylor, Anna M","Hu, Ya-Yu",,,,
NSC,4V90,0W1,5,11,5,3,7,3,,,1,,,,2,,,0,"Maqbool, Mohsin",,,,,
OB,6249,CW1,,26,,,2,,,,,,,,,,,0,"Latham, Van M",,,,,
OB,6301,0W1,,35,9,6,9,3,2,2,,,,,2,,,0,"Hasenhuttl, Maria","Teschner, Ryan S",,,,
OB,6301,CH1,,24,,,,,,,,,,,,,,0,"Ferrante, Anne M",,,,,
OB,6331,CW1,,10,,1,,,,,,,,,,,,0,"Hasenhuttl, Maria",,,,,
OB,6332,0W1,,17,1,2,2,,,2,,,,,,,,1,"Ziegler, Laurie","Garg, Suyash",,,,
OB,6332,0W2,,28,,,3,1,,,,,,,,,,2,"Ziegler, Laurie","Garg, Suyash",,,,
OB,6334,CW1,,6,6,5,,,,,,,,,,,,0,"Latham, Van M",,,,,
OB,6344,CW1,,28,5,,,,,1,,,,,,,,0,"Norton, Larry",,,,,
OB,6348,CW1,,28,1,1,1,,,2,,,,,,,,0,"Plaisance Bryan, Suzette T",,,,,
OB,6351,CW1,,20,3,3,2,,,,,,,,,,,0,"Norton, Larry",,,,,
OB,6352,CW1,,19,3,,2,,,,,,,,,,,0,"Norton, Larry",,,,,
OB,6358,GW1,,11,,,1,,,,,,,,,,,0,"Thurgood, Keith L",,,,,
OB,6367,GW1,,11,,1,,,,,,,,,,,,0,"Thurgood, Keith L",,,,,
OB,6382,CW1,,35,,,,,,,,,,,,,,0,"Plaisance Bryan, Suzette T",,,,,
OB,6384,CW1,,17,2,1,1,,,1,,,,,,,,0,"Honeycutt, James",,,,,
OBHR,3310,0U1,4,3,3,3,1,2,,,,,,,,,,0,"Guo, Nan",,,,,
OBHR,3330,0U1,,6,7,5,6,3,,,3,,,,1,,,0,"Meda, Edward","Teschner, Ryan S",,,,
OBHR,4300,0W1,38,12,,,,,,,,,,,,,,0,"Edgington, Kyle D",,,,,
OPRE,3310,0U1,,5,,3,4,,3,4,,,,,,,,1,"Subramoniam, Ramesh","Wei, Jiarui",,,,
OPRE,3310,0U2,5,7,3,3,3,2,,1,,,,,1,,,0,"Armaghan, Milad",,,,,
OPRE,3310,5U1,6,5,3,4,1,2,6,2,,1,1,,3,,,1,"Rout, Arun Kumar",,,,,
OPRE,3333,0W1,6,16,10,3,7,2,,2,,1,2,,1,,,0,"Alimirzaei, Athena","Qu, Zihao",,,,
OPRE,3333,5U1,14,3,2,2,2,,1,2,1,,3,,4,,,2,"Ahadi, Khatereh","Chen, Qiuxia",,,,
OPRE,3360,0W1,14,11,7,4,8,2,4,2,2,,1,,1,,,2,"Ahadi, Khatereh","Chen, Qiuxia",,,,
OPRE,3360,5U1,1,6,3,3,1,5,1,1,1,,,,,,,0,"Manchiraju, Chandrasekhar Seetharama",,,,,
OPRE,6301,0W1,,18,7,3,17,3,3,3,,,,,3,,,0,"Leach, Sonia E","Takasi, Venkanna Dora Goutham",,,,
OPRE,6301,CH1,,21,3,3,1,1,,,,,,,,,,0,"Kim, Dohyeong",,,,,
OPRE,6302,0W1,,16,13,17,9,1,,,,,,,,,,1,"Dawande, Milind","Takasi, Venkanna Dora Goutham",,,,
OPRE,6302,AW6,,13,6,,2,1,,,,,,,,,,2,"Leach, Sonia E",,,,,
OPRE,6302,MBP,,10,7,7,2,,,,,,,,1,,,0,"Subramoniam, Ramesh","Wei, Jiarui",,,,
OPRE,6332,5U1,,18,8,10,4,3,1,4,,,,,2,,,0,"Ramanathan, Kannan","Wei, Jiarui",,,,
OPRE,6364,PW1,,5,5,1,,,,,,,,,,,,0,"Rajamani, Divakar",,,,,
OPRE,6379,PW1,,5,4,1,,,,,,,,,,,,0,"Rajamani, Divakar","Raschke, Curt",,,,
OPRE,6390,0W1,,22,,,7,,,3,,,,,,,,0,"Thompson, Luell O",,,,,
OPRE,6398,0W2,,9,,,1,,1,,,,,,,,,0,"Alimirzaei, Athena","Qu, Zihao",,,,
OPRE,6398,5U1,,3,1,6,,,,,,,,,,,,0,"Sethi, Awanti",,,,,
OPRE,6399,0W1,,9,2,1,,,,,,,,,,,,0,"Menon, Syam","Luo, Ning",,,,
PA,3333,0W1,11,12,13,2,,1,,,,,,,1,,,0,"Rafi, Ahmed",,,,,
PA,4355,0U1,7,2,,,1,1,,,,,,,,,,0,"Hoang, Thanh T",,,,,
PA,6321,0E1,,13,,,,,,,,,,,,,,0,"Benavides, Teodoro J",,,,,
PA,6321,0U1,,17,,,,,,,,,,,,,,1,"Benavides, Teodoro J",,,,,
PA,6369,0W1,,11,5,,1,2,,,,,,,,,,3,"Stocks, Dhriti P",,,,,
PA,8330,HN1,,33,,1,2,,,,,,,,1,,,0,"Shute, William H","Chin, Michelle L",,,,
PHIL,1301,0W1,,47,,5,53,,2,11,,,7,,4,,,1,"Amato, Lawrence A","Meyer, Zachary M","Tijani, Kehinde O",,,
PHIL,3328,0W1,,,3,,,,2,1,1,,1,1,,,,1,"Dennis, Patrick W",,,,,
PHYS,1301,0U1,5,2,3,1,4,,,,,,,,,,,4,"Khan, Amena","Jafarzadeh, Seyed Javad","Ruwali, Shisir",,,
PHYS,1302,0W1,2,8,2,3,4,1,3,,1,1,,,,,,1,"Sun, Kuei","Bhattacharjee, Koustubh",,,,
PHYS,2125,1U1,3,10,1,1,1,1,,,,,,1,1,,,0,"Sun, Kuei","Ali, Akbar",,,,
PHYS,2125,1U2,1,10,,1,,,,,,,,,,,,2,"Sun, Kuei","Bera, Avijit",,,,
PHYS,2125,1U3,1,11,2,,,,,,,,,,,,,0,"Sun, Kuei","Gogoi, Antareep","Bhandari, Bishal","Gibbons, Stasio M",,
PHYS,2126,1U1,9,1,1,,,,,,,,,,,,,1,"Macalevey, Paul J","Patra, Rittik",,,,
PHYS,2126,1U4,22,1,,1,,1,,,,,,,,,,0,"Macalevey, Paul J","Shrestha, Samyak",,,,
PHYS,2126,1U5,9,,1,,,,1,,,,,,,,,0,"Macalevey, Paul J","Khan, Junaid Saif",,,,
PHYS,2325,0U1,6,6,3,2,1,2,1,1,1,1,1,,1,,,0,"Ishak-Boushaki, Mustapha","Sooriyaarachchi, Vinu K","Mitchell, George A",,,
PHYS,2325,0U2,1,6,,1,1,1,,1,1,,,,2,,,1,"Slinker, Jason D","Seifi, Melodee O","Ameh, Emmanuel O",,,
PHYS,2326,0U1,,6,7,9,7,2,4,,2,,1,,1,,,0,"Gartstein, Yuri","Aker, Adam","Dowarah, Sasanka",,,
PPOL,4312,0S1,3,9,,,,,,,,,,,,,,0,"Boots, Denise P",,,,,
PPPE,7V26,0U1,,15,1,,,,,,,,,,,,,0,"Elliott, Euel W",,,,,
PSY,2301,0W1,,16,16,14,8,10,4,3,4,1,1,5,5,,,1,"Brody, Salena M","Li, Yue",,,,
PSY,2317,0U1,,1,,,2,2,2,,,,,,2,,,4,"Batchalli Maruthy, Gayathri","Zhang, Ziwei",,,,
PSY,3310,0U1,1,5,5,2,2,7,2,4,,,,,,,,2,"Heinrich, Melissa D","Hafiz, Mariam",,,,
PSY,3331,0U1,,17,9,,4,4,1,3,1,,,,3,,,8,"Huxtable-Jester, Karen J","Lilly, Lauren H",,,,
PSY,3342,5U1,2,4,4,1,1,2,,3,,,,,1,,,0,"Bonner, Deborah L","Padilla Cardoso, Mayra A",,,,
PSY,3361,0W1,40,11,11,6,8,4,4,,1,,1,,1,,,1,"Hooge, Kimberley O",,,,,
PSY,3392,0U1,2,5,1,4,,2,,,,,1,,2,,,0,"Holmes, Melanie C","Nguyen, Linh Thi D",,,,
PSY,3393,0U1,,7,6,2,1,1,,1,,,,,,,,0,"Jones, Desiree","Monroe, Anthony J",,,,
PSY,3393,0W1,2,4,8,3,2,1,,1,1,,1,,,,,0,"Shirvani, Forouz","Sudheesh, Athul",,,,
PSY,4331,0U1,6,9,7,2,11,5,5,4,,,1,1,,,,0,"Poucher, Jesse W","Heard, Matthew J",,,,
PSY,4343,0W1,19,36,14,8,7,3,1,4,,,,,2,,,0,"Ybarra, Regina K","Hsieh, Uan-Luen",,,,
PSY,4343,0W2,5,10,9,6,8,2,1,2,,1,3,,1,,,2,"Ybarra, Regina K","Hsieh, Uan-Luen",,,,
PSY,4346,0U1,7,9,7,4,,1,1,3,3,,,,2,,,3,"Wilder, Siri","Platt, Kristen N",,,,
PSY,4V90,0U1,,15,,,,,,,,,,,,,,0,"De Froy, Adrienne M",,,,,
PSY,4V90,0W1,,23,1,1,,,3,,1,,1,1,,,,1,"Brody, Salena M","De La Cerda, Callie B",,,,
REAL,3365,0W1,,1,2,2,3,3,,,1,,,,,,,0,"DeCourcy, George A",,,,,
REAL,6321,5H1,,1,1,,2,,,3,,,,,2,,,2,"Guttery, Randall",,,,,
REAL,6322,0W1,,4,2,2,6,2,,,,,,,,,,0,"DeCourcy, George A",,,,,
RHET,1302,051,1,7,3,,,,1,1,,1,,1,,,,0,"Cook, Brandy S",,,,,
RHET,1302,052,7,4,4,,,1,,,1,,,,1,,,0,"Walker, Jason A",,,,,
RHET,1302,091,,1,4,1,3,2,,1,,1,,,1,,,0,"Cox, Gavin L",,,,,
RHET,1302,0S1,3,4,3,1,1,,,,,,,,,,,0,"Hill, Justin T",,,,,
SE,3306,0W1,3,3,,2,,2,,,,,,,,,,0,"Farage, Timothy P","Song, Zihe",,,,
SE,4381,0U1,,3,4,3,3,7,3,3,2,,,,,,,0,"Paulk, Mark C","Nguyen, Son V",,,,
SOC,1301,0W1,33,10,1,,1,2,,1,,,,,,,,0,"Dickey-Laprocido, Galen L",,,,,
SOC,2320,0S1,13,4,,,,,,,,,,,,,,0,"Lanham, Carol C","Scotch, Richard","Dore, Gaetan",,,
SPAU,3340,0U1,1,7,,,2,,,1,,,,,,,,0,"Aldridge, Michelle A","Vu, Katrina D",,,,
SPAU,3343,0U1,3,4,2,1,,,,2,,1,,,1,,,0,"Mehta, Sonya","Thomas, Abbey L",,,,
STAT,1342,0U1,1,1,1,,1,2,1,1,1,,,,1,,,1,"Koshevnik, Yuly","Shuvo, Farabi R",,,,
STAT,2332,0U1,10,2,1,1,2,,2,1,1,,,,1,,,0,"Whalen, Tristan G",,,,,
STAT,4351,0U1,4,5,2,,3,1,,,,,,3,1,,,0,"Koshevnik, Yuly","Rahman, Nusma","Nguyen, Mylinh T",,,
SYSM,6325,SU1,,12,1,2,,,,,,,,,,,,0,"Koganti, Ramakrishna",,,,,